record_id,source_database,source_category,title,year,ship_name,pathogen,source_url,retrieval_date,language,screening_outcome
SR-0039,CDC VSP,official_public_health,"Allure of the Seas - Unknown (5/20-5/24, 2024)",2024,Allure of the Seas,Unknown,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0040,CDC VSP,official_public_health,"Sapphire Princess - Norovirus (4/5-5/7, 2024)",2024,Sapphire Princess,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0041,CDC VSP,official_public_health,"Radiance of the Seas - Norovirus (4/8-4/22, 2024)",2024,Radiance of the Seas,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0042,CDC VSP,official_public_health,"Silver Nova - E. coli (3/31-4/16, 2024)",2024,Silver Nova,E. coli,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0043,CDC VSP,official_public_health,"Koningsdam - Norovirus (2/17-3/24, 2024)",2024,Koningsdam,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0044,CDC VSP,official_public_health,"Queen Victoria - Norovirus (1/22-2/6, 2024)",2024,Queen Victoria,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0045,CDC VSP,official_public_health,"Celebrity Constellation - Norovirus (1/3–1/12, 2024)",2024,Celebrity Constellation,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0046,CDC VSP,official_public_health,"Scarlet Lady - SalmonellaandE. coli (10/8-10/13, 2023)",2023,Scarlet Lady,SalmonellaandE. coli,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0047,CDC VSP,official_public_health,"Viking Neptune - Norovirus (6/6-6/20, 2023)",2023,Viking Neptune,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0048,CDC VSP,official_public_health,"Celebrity Summit - Norovirus (5/15-5/25, 2023)",2023,Celebrity Summit,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0049,CDC VSP,official_public_health,"Nieuw Amsterdam - Norovirus (5/6-5/21, 2023)",2023,Nieuw Amsterdam,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0050,CDC VSP,official_public_health,"Grand Princess - Norovirus (3/31-4/28, 2023)",2023,Grand Princess,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0051,CDC VSP,official_public_health,"Emerald Princess - Norovirus (3/17-4/1, 2023)",2023,Emerald Princess,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0052,CDC VSP,official_public_health,"Enchantment of the Seas - Norovirus (3/23-3/31, 2023)",2023,Enchantment of the Seas,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0053,CDC VSP,official_public_health,"Enchantment of the Seas - Norovirus (3/11-3/23, 2023)",2023,Enchantment of the Seas,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0054,CDC VSP,official_public_health,"Celebrity Equinox - Norovirus (3/9-3/18, 2023)",2023,Celebrity Equinox,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0055,CDC VSP,official_public_health,"Celebrity Constellation - Norovirus (3/6-3/17, 2023)",2023,Celebrity Constellation,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0056,CDC VSP,official_public_health,"Ruby Princess - Norovirus (2/26-3/5, 2023)",2023,Ruby Princess,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0057,CDC VSP,official_public_health,"Jewel of the Seas - Norovirus (1/28-2/3, 2023)",2023,Jewel of the Seas,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0058,CDC VSP,official_public_health,"Brilliance of the Seas - Norovirus (1/16-1/21, 2023)",2023,Brilliance of the Seas,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0059,CDC VSP,official_public_health,"Arcadia - Norovirus (1/3-4/13, 2023)",2023,Arcadia,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0060,CDC VSP,official_public_health,Arcadia - Norovirus (12/29/2022-1/3/2023),2022,Arcadia,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0061,CDC VSP,official_public_health,Silver Moon - Unknown (12/21/2022-1/6/2023),2022,Silver Moon,Unknown,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0062,CDC VSP,official_public_health,Carnival Splendor - Norovirus (5/24/2022-5/31/2022),2022,Carnival Splendor,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0063,CDC VSP,official_public_health,Seabourn Odyssey - Unknown (4/28/2022-5/19/2022),2022,Seabourn Odyssey,Unknown,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0064,CDC VSP,official_public_health,Viking Sea - VibrioandE. coli (11/29/2021-12/13/2021),2021,Viking Sea,VibrioandE. coli,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0065,CDC VSP,official_public_health,Grandeur of the Seas - Norovirus (3/7/2020-3/19/2020),2020,Grandeur of the Seas,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0066,CDC VSP,official_public_health,Westerdam - Unknown (3/1/2020-3/16/2020),2020,Westerdam,Unknown,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0067,CDC VSP,official_public_health,Caribbean Princess - Norovirus (2/16/2020-3/1/2020),2020,Caribbean Princess,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0068,CDC VSP,official_public_health,Caribbean Princess - Norovirus (2/2/2020-2/16/2020),2020,Caribbean Princess,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0069,CDC VSP,official_public_health,Norwegian Joy - Unknown (11/8/2019-11/24/2019),2019,Norwegian Joy,Unknown,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0070,CDC VSP,official_public_health,AIDAdiva - Norovirus (10/3/2019-11/13/2019),2019,AIDAdiva,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0071,CDC VSP,official_public_health,AIDAluna - Norovirus (9/28/2019-10/12/2019),2019,AIDAluna,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0072,CDC VSP,official_public_health,AIDAdiva - Norovirus (9/5/2019-11/23/2019),2019,AIDAdiva,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0073,CDC VSP,official_public_health,Conquest - Norovirus (9/7/2019-9/14/2019),2019,Conquest,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0074,CDC VSP,official_public_health,Oceania Marina - Unknown (3/18/2019-4/5/2019),2019,Oceania Marina,Unknown,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0075,CDC VSP,official_public_health,Island Princess - Norovirus (2/8/2019-2/18/2019),2019,Island Princess,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
